CHROMATOGRAM
D:\20240826\20240730_Ext_E31_24h_ddms30.raw
Data points: 630
Time(min),Relative Abundance
7.6216117,39595288
7.6523376,34438068
7.6831549,31140102
7.7225126,36144564
7.7531321,32682060
7.7922821,36022952
7.8227356,31832932
7.8532782,31619880
7.8925614,32782780
7.9229312,36044368
7.9617679,42886196
7.9922347,31491192
8.0227553,30360032
8.0620845,27904400
8.0924898,32210286
8.1316057,33168026
8.1619326,32269126
8.1923785,31894488
8.2311508,43350132
8.2611963,38885580
8.2994015,39484824
8.3290516,77439232
8.3588239,55597668
8.3975235,38361220
8.4272701,53593316
8.4569343,58890388
8.4868083,53648044
8.5168028,40101784
8.5541449,52970536
8.5840354,42748060
8.6139207,52887908
8.6483255,42334144
8.6786234,34654988
8.7113569,34135944
8.7414333,37935228
8.7716673,33920260
8.806279,35318052
8.8365147,38834560
8.8733043,37814016
8.9032606,40070332
8.9331899,43413432
8.9671274,64745524
8.9967117,58407820
9.0264947,49079844
9.0633697,39682964
9.0930885,58437956
9.1228165,54048092
9.152837,40344976
9.1828193,40367728
9.2186964,39394456
9.2483226,71536760
9.2781465,49142080
9.3126621,38131848
9.342775,37365192
9.3752924,38097532
9.4052717,39631148
9.4348439,63635628
9.4690886,41615920
9.4990989,39987088
9.5291836,37477404
9.5615885,38093812
9.5912792,57845560
9.62336,53007656
9.6531472,50345200
9.6827201,71541664
9.7147648,44949648
9.7447736,38601792
9.7747853,37696796
9.8115232,40309852
9.8413737,48857540
9.8788535,55704952
9.9087869,44483544
9.9388146,39955964
9.9731084,46385964
10.002906,50440020
10.03709,63151836
10.066405,164575230
10.095703,219974510
10.129348,210345820
10.158923,76191776
10.188832,55035424
10.225754,38341080
10.255869,37857772
10.285797,46921928
10.31571,48827844
10.345317,69666568
10.380659,67817256
10.410401,62958364
10.439782,151092830
10.473376,222676530
10.502493,536558240
10.534556,359964350
10.563681,144820850
10.593012,138274640
10.629251,62581352
10.659251,51605048
10.689031,67430872
10.727526,50697280
10.757341,56461204
10.791557,49222828
10.821688,38455748
10.851879,39928048
10.886454,39456424
10.916435,48942988
10.946129,72630608
10.982533,134548430
11.012059,91243112
11.046341,48828848
11.075884,102691640
11.105113,248638980
11.138708,126343360
11.168139,108081260
11.200596,86342680
11.233544,82058776
11.263457,50695316
11.302318,46196120
11.332362,46692984
11.362201,49694692
11.395709,34968448
11.426084,33742420
11.460899,33939980
11.491188,36004216
11.521494,34677184
11.560558,34898832
11.590706,37026720
11.629642,38058144
11.659681,41008320
11.689807,36698484
11.723839,67746600
11.753598,52084384
11.791304,45830340
11.821183,45913740
11.851087,45218676
11.881294,36890300
11.911406,36952160
11.941618,37170216
11.978353,45651680
12.008444,39811048
12.046012,50077996
12.076095,36840328
12.106153,41724656
12.144996,42984428
12.174838,49533080
12.204926,38563372
12.235139,34249576
12.265435,33489286
12.304364,36791340
12.334434,36494300
12.368908,35587484
12.403481,34861004
12.433729,32580510
12.468405,31834770
12.498582,33929044
12.528621,38568244
12.567494,36297660
12.597638,34620864
12.627881,33880052
12.658051,34878836
12.688207,35377404
12.725275,32119216
12.75559,31346932
12.794476,34401824
12.824757,33761900
12.854902,39225380
12.893489,46099428
12.923581,35719220
12.953545,46581332
12.983115,60534544
13.012687,64960256
13.049514,57188716
13.079744,35518464
13.109531,56266912
13.143709,50496648
13.173719,47413088
13.210065,41997396
13.240283,35262800
13.270529,34577276
13.300808,35522232
13.330852,38700388
13.361092,34291736
13.398125,34828524
13.428415,34152676
13.467304,39581128
13.497277,46259844
13.527417,40924744
13.566362,35642332
13.596483,33880928
13.626586,35341728
13.656704,37584436
13.686872,35119396
13.725502,47593232
13.755376,42075888
13.794217,39472528
13.823723,75063672
13.853245,68520048
13.88542,85295264
13.915269,47024892
13.945471,35103012
13.984089,35002664
14.01435,33161578
14.04888,36032100
14.078944,38751788
14.108939,40262436
14.14466,39331944
14.174551,43810904
14.204699,37057264
14.234907,34379428
14.264855,48796372
14.300959,39844612
14.33116,36195812
14.361122,48775792
14.390832,56589180
14.42096,38442632
14.455614,50254720
14.485485,46694236
14.515537,39007740
14.550098,35417708
14.580239,34598396
14.610238,39124476
14.642155,87867824
14.671801,65992332
14.705394,41561236
14.735465,37268020
14.765619,36004680
14.798096,37313244
14.828193,39753968
14.858302,38514988
14.889608,37314456
14.9197,39032948
14.952038,41915908
14.981952,44704756
15.011898,44658864
15.044354,41984712
15.074417,39943024
15.104458,38678656
15.139802,43225120
15.16979,41754404
15.20406,44986268
15.234021,41710908
15.263988,43314816
15.298122,46307784
15.327972,42857388
15.35792,42683332
15.3953,42641324
15.425318,42575128
15.45524,45852616
15.48519,46229232
15.515171,41542812
15.551881,41517812
15.581756,43109092
15.611617,45380160
15.641521,46443476
15.671384,46039708
15.705641,48724564
15.735529,49056288
15.765376,48149756
15.795271,48337624
15.825193,44983576
15.855073,48615396
15.888228,58067940
15.917858,66536880
15.947646,54386316
15.977521,49176888
16.00732,51020996
16.041454,53221820
16.071288,52094224
16.101143,51360768
16.130966,48901376
16.160862,50604140
16.190656,47824748
16.225043,48289532
16.254821,52017100
16.284539,57448184
16.314255,59302672
16.343949,58077400
16.376556,54192292
16.406357,50727252
16.43591,99124088
16.465277,92022824
16.494956,59347852
16.524684,53149500
16.559186,53191444
16.588918,54009464
16.621548,56820976
16.651235,54609272
16.68095,55339548
16.716105,53880284
16.745814,57041564
16.77553,53781312
16.809585,54748820
16.839234,61575848
16.873728,59532424
16.903453,58200608
16.933187,58816328
16.966466,57962944
16.996133,58922996
17.025871,62209716
17.061523,60525552
17.091218,60867760
17.123782,66032280
17.153426,64021364
17.183078,68450792
17.217968,69817040
17.247601,66343592
17.277214,73149616
17.306778,85495200
17.336178,102074060
17.370184,77719832
17.399751,74244888
17.42932,71884120
17.465962,72592312
17.495541,70449912
17.52504,102081500
17.558782,137035950
17.588322,82684624
17.624407,67888232
17.654082,68358432
17.683776,65671768
17.720376,67180856
17.75002,64310940
17.779725,68378440
17.813751,66482420
17.843394,65870992
17.87937,66124596
17.909131,63210724
17.938957,61853692
17.972168,65033000
18.002013,60164096
18.031896,60984972
18.063444,57078884
18.093268,61045316
18.127333,80591136
18.15699,67407840
18.186812,61577556
18.219002,57485004
18.248852,65260000
18.278572,71816800
18.310526,59600912
18.340357,55134660
18.372635,55170948
18.402532,52839688
18.432407,53621852
18.463697,52133800
18.493611,53513664
18.52349,50251900
18.559988,48586204
18.590005,48833188
18.620111,45106564
18.650153,44036552
18.680332,43268504
18.715969,41754232
18.746063,40785944
18.776115,46962408
18.806118,45611964
18.836295,41765148
18.870196,38171972
18.900463,36884296
18.930863,35389484
18.967828,34591592
18.998433,35785008
19.029102,33228418
19.064214,37046452
19.094878,37396908
19.130064,35307288
19.160803,33264488
19.191482,36158868
19.226122,36246212
19.256667,34986904
19.294032,38516012
19.324537,38366624
19.3552,33238226
19.390152,35871336
19.420818,35111756
19.455757,34373852
19.4864,34539576
19.517033,34666992
19.555444,36359584
19.586031,38465516
19.624723,37384384
19.655315,36644296
19.685957,37483108
19.720775,36354996
19.751376,38792472
19.786347,39078888
19.821204,40586056
19.851824,38875796
19.886804,38238448
19.917365,41884360
19.950335,39282496
19.980952,37970496
